Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2021-01-05,129.85084533691406,116.24263763427734,211.6300048828125,176.9269256591797,42.15066909790039,81.14066314697266,178.44000244140625,263.08447265625,257.416748046875,112.08967590332031,48.57395935058594,152.48269653320312,120.74803161621094,49.84086608886719,204.46939086914062,163.06126403808594,73.4145278930664,215.14170837402344,139.51116943359375,34.960994720458984,132.95648193359375,67.00072479248047,130.17434692382812,337.811279296875,212.4482879638672,54.02703857421875,38.79438018798828,142.3981170654297,40.119808197021484
2021-01-06,125.47984313964844,120.54283142089844,211.02999877929688,186.7733154296875,42.55320358276367,83.7520980834961,179.1199951171875,277.28106689453125,258.887451171875,114.8888168334961,49.044246673583984,153.9176025390625,126.41785430908203,48.25527572631836,204.00531005859375,165.5416717529297,74.5732192993164,209.56320190429688,140.61753845214844,34.66017532348633,134.35604858398438,67.83074188232422,134.5963897705078,351.9880065917969,210.5764923095703,54.681846618652344,40.55690002441406,143.28720092773438,41.1435546875
2021-01-07,129.76162719726562,119.58934783935547,212.7100067138672,187.12974548339844,43.089908599853516,84.14380645751953,178.5800018310547,283.20440673828125,257.6199645996094,114.62223815917969,50.090396881103516,154.4376220703125,130.56930541992188,47.72038269042969,204.95281982421875,161.2936248779297,76.05780029296875,215.52676391601562,143.18589782714844,34.83878707885742,133.10028076171875,67.3481674194336,134.5673828125,357.6312255859375,211.75503540039062,54.55880355834961,42.65873336791992,143.27743530273438,41.46635818481445
2021-01-08,130.8816375732422,119.7072982788086,209.89999389648438,187.15869140625,43.185752868652344,84.94587707519531,178.69000244140625,281.679931640625,260.3581237792969,114.21347045898438,49.57212448120117,154.11981201171875,130.71347045898438,48.79017639160156,208.7138671875,158.34751892089844,75.16162109375,216.8399200439453,144.56884765625,34.90459442138672,133.04273986816406,67.42537689208984,135.12860107421875,356.0245056152344,213.3792724609375,53.878334045410156,42.61160659790039,143.25790405273438,41.92750549316406
2021-01-11,127.8387680053711,118.99954986572266,206.7899932861328,186.7733154296875,43.473270416259766,85.43085479736328,179.08999633789062,285.3213195800781,262.4286804199219,114.25790405273438,49.466548919677734,153.47459411621094,132.66427612304688,47.94962692260742,207.1282196044922,156.99801635742188,76.94493103027344,214.73690795898438,145.26034545898438,35.50623321533203,132.14169311523438,67.36747741699219,132.98046875,353.43798828125,210.84388732910156,53.5614013671875,44.95849609375,143.9027099609375,43.20027160644531
2021-01-12,127.66038513183594,119.5500259399414,208.41000366210938,190.3187713623047,43.8853874206543,87.05368041992188,175.99000549316406,293.45867919921875,267.3631591796875,114.81771850585938,51.0981559753418,152.28045654296875,134.74961853027344,47.86365509033203,204.58541870117188,158.24298095703125,75.21592712402344,212.20928955078125,143.28469848632812,34.951595306396484,131.37481689453125,69.02751922607422,135.8736572265625,350.1264953613281,206.8526153564453,53.37497329711914,45.203556060791016,145.5440673828125,44.159461975097656
2021-01-13,129.73190307617188,120.3167495727539,207.2100067138672,188.72911071777344,43.473270416259766,86.96973419189453,176.1199951171875,294.16754150390625,265.1571960449219,112.78280639648438,54.658897399902344,152.04934692382812,134.87454223632812,47.911415100097656,205.0591583251953,158.02439880371094,74.5370101928711,213.60147094726562,141.2991180419922,34.65077209472656,131.5761260986328,68.04307556152344,137.6444091796875,347.84381103515625,207.33792114257812,53.188541412353516,46.127227783203125,144.05902099609375,44.65749740600586
2021-01-14,127.7694091796875,121.67325592041016,209.91000366210938,190.1838836669922,43.272003173828125,89.05886840820312,173.42999267578125,298.95477294921875,259.6324462890625,114.60446166992188,56.86636734008789,154.70726013183594,135.66253662109375,47.023101806640625,201.5881805419922,158.14794921875,74.38312530517578,210.323486328125,139.580322265625,34.547367095947266,130.1765899658203,68.46775817871094,137.71214294433594,343.4251708984375,199.91989135742188,53.169898986816406,46.485389709472656,143.59007263183594,46.400638580322266
2021-01-15,126.01507568359375,120.07100677490234,204.32000732421875,187.5055389404297,43.54035949707031,85.88785552978516,171.44000244140625,292.2934265136719,266.6471862792969,114.08907318115234,55.263553619384766,154.3701934814453,133.23123168945312,46.51686477661133,202.951416015625,157.3306427001953,75.47844696044922,209.95816040039062,139.0073699951172,34.500362396240234,129.1988067626953,66.78838348388672,138.60235595703125,344.1795349121094,199.65249633789062,53.48683547973633,46.10837936401367,141.3136444091797,44.16868591308594
2021-01-19,126.69896697998047,124.59271240234375,210.7100067138672,187.9607391357422,43.310340881347656,88.1448745727539,172.25999450683594,285.6806640625,264.3250732421875,114.64888763427734,55.65706253051758,156.75845336914062,132.6546630859375,46.33537673950195,202.1586151123047,160.72340393066406,75.30646514892578,213.70018005371094,137.5750274658203,34.528568267822266,128.0677032470703,66.94281005859375,138.8636016845703,345.0515441894531,199.72181701660156,53.17922592163086,45.382633209228516,140.09242248535156,45.044864654541016
